generation,deck_uid,win_rate
0,cbtbndrqotmrcpsimghsauuktjrqmo,1
0,fdkhtbmgjeannfqubmhareujijifmi,3
0,kminhsqbhohqhetngmuknitcdessdd,2
0,jeaomhgrojbdggsggnjmidkprqgrkc,1
0,udctfpehlbbpthpkuooppncubokhku,1
0,lpagclokhsisjbkqmdhcosbppdnslp,1
0,dbqppdkugnugnloclfrpidnijcjdmq,2
0,hsldjtmjtrdcqahdugsehsmkosriut,1
0,krrqlfmlgofhufempdlrbdrlmedica,2
0,hqotltaabpahbmbkutjhktmmcqqanc,1
0,bbhsjpmmsecpkspsrgcmjtjfmebrpo,2
0,ponkmiipdbbkalbcrmrfhkkgmrshpe,3
0,cfubicluopobsotltagdkdmhnecgpc,2
0,qnaiooqudsgamobrochrhgsjramfcr,2
0,nkkttthdaeaabgstfedglulheoatoo,0
0,hebmtcjstbcaadadhpbnisekjtdthc,1
0,ledpfrjbbequjjnlcircbljdsrpsdb,0
0,dbeqqbplbkgneufjshforiilogtpjb,1
0,qjnmfbldsttrkakormplmntsdjkghi,1
0,mhmuiiktsbhbpsjrdpacnckjdmerdn,2
0,rhiblbmeqqoqcuhehlgbrajbnhstbs,0
0,lsopnkmsogofddcuglnfkpnhksmkce,3
0,ieskqrqhnmdbcstqinhbpqqlrcpdir,0
0,ureuihsosloghmfrmqasbbfteposaf,2
0,slslfgsqlpnuakpedebgbboghhggsa,1
0,qploumrdjnaknkjleogkpfempjdlod,1
0,eklliopokieeqbaddbuefodkekknlp,2
0,mmrgblkmghmdqbqlecoeihhrjlokop,2
0,lkqqmippthnfjuoedbjtmsigrfesaq,2
0,eupthnlpksmdopocopggdfgskisofa,2
0,hutcsgshmfdoktalgbtioebeutelab,0
0,rakagcldsohhaftiohcbfgoknojful,5
0,kedmrcnidptjshfdjupnoroksadbns,2
0,krtdecptkpejsifeapnjdftgqmbqpg,0
0,qansslhbhpccgoqutfcbmotfgturli,1
0,ipldecjsaifcisirbmemggbpniqqlj,3
0,olcsjrhdsblrfbqijmehtiegrqcfts,0
0,lhmfkcfuurnskuufmctpmjnkjmpqee,0
0,cqphsbnadhkfldoqakbfafodueqjap,1
0,lfplhnaacufmpetnondjfffqarralf,3
0,spqjaiotntgoglbitaemihmgsbrsod,0
0,sotslamtgplirlgntnpbdtgaakqaas,1
0,fajudadgduspngajikfdetmckrbuqk,0
0,rkqpjseaqkdobcbopdttgctqunefom,1
0,gifjbdaoikfoscgjbnpsnjtufktpct,5
0,utfodugbqkgietdbqejomgqiilrqgb,0
0,jpothjilnhuaqcphjlatnfkqhgiesu,1
0,csjbmjtqdielpeaacogcbefcqeuueo,2
0,juihicjclksddokhbboodbiaijuost,1
0,kljmggtopekermochaliddddiqhnuh,2
0,kefhjnibpifgcmchrgqatrcsemqsld,3
0,qrbfkjkphflngfedlfoutbnemdscnh,1
0,hjrpctqtttjgikoqkcphcqqafhdtoa,2
0,qtcaucbekqcngkqdackefujiausbsb,1
0,nukhqdttndspqbftilubkdeukoatrl,1
0,gejfksgeiinfkguguridjstjcatiga,1
0,kjblpbfgrlraqunhnlrcucjnldnipj,2
0,poannctdjjhjiacrigleakfcpjbasd,5
0,ilplucnelucdcgqpalnsrlcskmsdru,1
0,hikmiikekicjejmigpppmaarkpncee,4
0,pusrisbppeqohrlfnouggcpugqfthn,0
0,midburmmkcrudpmuilslondljfohpt,2
0,riafinnaajaldfgcjjesmsffrrdgmr,0
0,uenshtekbkribukijjfcccgnnpujlo,1
0,sdlsnkkopkomboceteoujdikqffros,1
0,pgapddfnfcqjuklbttlflrkdahsjfp,0
0,uknaflbejmdokrcprpphpgicqjrbtp,2
0,irpbldurjhuptrllkuhgrenrtgurqg,1
0,cdcpojltedsioisjamlmbjgjiqufhr,1
0,cobdhmnenfurlpncjnmrselcemtuon,2
0,htqbqghkrdsbfungkiiascdgtgjmju,0
0,eatuhqgbulcblhmbkdtldgaqjoipea,1
0,eclbgdehkduclsqabgskqdqqaieudl,1
0,ikfodsjpoelrbtedeeintqudkhmsdd,0
0,omdbghkegbcocbnglleenbjriitglf,2
0,edjrbpshqjpuoomuimnprdlbpmutgs,0
0,fnibljakusdppcslqfaaignlobiedi,1
0,pnloieceihrtnbsqnlccqrhsndjgju,4
0,mgjqbboguiorcfegbpcfigqmfuedja,1
0,cjeqnsmfcushmjfthmokrjkmdegksp,1
0,gkgfscbfhlcasqcegiedorkulqdkcg,2
0,qttronepfnpkohrocngidfsrmcmkif,2
0,ubqhsdojlbtsgjnrddfopgaforgigj,2
0,fretdsisdnksmsatpbhcjdpskfijcs,2
0,qmrguorqjrebsamqpepsurjtaidhmt,0
0,rrhfoecjnkdcohgffsmbkgpcgtbhur,3
