generation,deck_uid,win_rate
0,pidpllejqhqehrciaavbikprjnkvcn,1
0,fovknvqmhnvadflaticwcjmetvlqlh,2
0,ogsrfmknqumwcqbheltrraepjwbdvm,1
0,lqtcgwrsdsqdenqucdngjredowldfp,1
0,cborlhukfudmhkqugdlfijitkgkcmt,3
0,fjhjdkkavriwfoekeqlsmplkswmekr,2
0,tqrwkoffublclhhwdusplcocwtehcl,1
0,echcibnciqslqwwtddhwmfpukrkfgv,1
0,moabcflroqhniuopwdswatutbgwmpt,1
0,uoespjdimmvwandcldingrofisbruw,0
0,urhbhbktfcheiiawtuacruofhshoob,0
0,qeidnbjhcilhlruaahwnumniurtghc,2
0,mbielavglbgvnfemvcppdoskbtpoml,0
0,itakfmthbwjjoflcqmhcwshrdutonu,0
0,svrvgttpfcrolilcgjspjhchaipvtf,2
0,nkpripccjbpulgbuaopcuwkmubemcf,6
0,jtvbarusruubccducqjkrvcsgrkewb,0
0,uomancuhcwfecijjkukibiprwonlbc,3
0,vsmlfadshmctlhpdplfbuhbhtlovpg,1
0,vdoujlswjumhcwnkcthichgppbdsww,0
0,sqfmtsgvinotpqebtcdcpjplwnsikl,1
0,kqhmgijpwdeeupwpjvbggvaqqqvgbc,2
0,wpwrtimwwjkfcnglmongmbdpeleais,2
0,mjsfnvvtkubggeklqenbejkfscrdkp,1
0,frdoaafodtvwcwhmjrifsovswaquhk,0
0,rwdrretbdmvucdaeonkkoleadpqnpk,0
0,bjjpbkgwjotnubldwppbnveomaowih,0
0,luvmmwbcrsqomjckugdwaiwwllfesd,1
0,rbrebktkmsshhrkvsvwbvtftqdherm,0
0,cwbojajfpdpbwhhvufloukhkafgtim,2
0,rteabkosjegwdqiehmokwliorgsldb,0
0,mlhlmmksamjuvodgwffatapatwqddf,0
0,pngwgnsdglwfhgplrneqgdasptoajo,0
0,dhokwaoihjbvulhobmkerribnnoojm,2
0,clehtemsvtfqicccfnsnjuhopqptvi,2
0,akvmllvcdwiobqarqqkmqluwilocbc,1
0,qvqphtgupidwhaosvtolcpnjvjudfb,2
0,auvisanccderjslejlrqwgfsoqeemj,3
0,bihelupipitfviukbkebmcfcrsjdbc,1
0,hnqfaiiimvfprosqhvllfsfjvppujb,0
0,olifbinfnhatpgdmkgjupqrjqkhtqw,0
0,jgtgtfobafcffjkdsdlcmbljiwdqoe,2
0,pdtamdlgguokmimbtjtshjvllwkhgi,0
0,titltcvftoqjvomsgldvdceujfhpom,3
0,nghwmhbkvoildqmflhslahujlqecfk,2
0,kreuweuolwohlghtwqnisvgnmrpmre,1
0,adelthgqijevjjcmmdbnraarsfkncu,3
0,ggaheltiqiampfmbpivmkdffrmcvcp,1
0,pljaljseuulciluhkllcehvvvoovoj,3
0,rbnuaauewbcfpngsnqsaifkkruvuko,0
0,ohhmuqpvhasffrlcggeggnjfbuthtn,2
0,vkcolvtrfnpabcdgnemomwfwhrbcoc,1
0,fhcdetslleimtmgmehqflnhuoluwuj,1
0,dlnheuhusctpgkqwgtndgcchgasmjb,1
0,eeboilkfusteosumdrissjgqobdhru,0
0,onoewppuqdjhjwpwwghfltlvrgculk,2
0,fttmljuahlbfhwsuwnvklsqlobanek,1
0,iktccumpigsgskwqkshmgtevithhrv,1
0,bswsgphiphmgsbqbpoqeffogojpkvo,1
0,tbnfsfhnhtpdvivtfgwqcpbqqkwngg,0
0,tgdwgmmegptoehlbiaotdrfbrujnmw,2
0,nonglcjnockhuvsrtroeomualnrebj,5
0,kmthmqpthtpclknmoiqagfgrjhraku,1
0,sufrbhqfklhugcqsgrsirucvsmedml,0
0,moomlpwhggbwdsgqnfadeiqoqghngp,2
0,pjjmknjgrgwucqacucpvkbwuuwridb,2
0,wrvbmudqgjwibimdksujooapiranel,0
0,iktthflrvhcphevkndtrsruirprtgn,0
0,bbhtmrhbvnweewcqkjcdvgoomwdmcu,0
0,ovrinfmgoullqovpmiowrmtptojrul,2
0,dkrecogavvqiohbsbcccgpldiwreiq,3
0,ejsokbpndueqsppodgroamajmanihu,3
0,ueqwbhiqjgpccqmrnstrwmkswnukwc,2
0,nqifmrliwmftdgoeshulcranjlllwk,0
0,cohbtbpmfgdsidbcjhdqcmqksuhlip,2
0,fiblllopjsapnrstaoqvaatuhfjbma,0
0,rfdrclgootppcicoqetlkecnpiiuup,2
0,gntwnqgsujnjsnlqrptvnjsmdkmcbl,0
0,ktwpfakdoltjbfepkunapvshkijvad,2
0,mkeggegmsqcvcfbqgeiiwouejogeeu,3
0,oeibfucwslwqrvsfnwepiewrrikbwl,0
0,tvtqkldadugtamiofbagemnqfwqnmn,2
0,lkimfpvwvdjhecnbiveknnjhehunir,1
0,aouoqfrkribmtvnccgcjwfckpifdvj,3
0,kmcdfdlblwjiramgknorrupiajddag,2
0,ggtlfbdhqgmslqlojudbufuirjqlmk,0
0,ghninqoklhjhqlwwqwviurbscjeqvm,1
0,trrmeqiqjomwievhpnbpmhikkcuwvk,2
0,qhfhbtcvwwdvwoflhgtsmsgkvhcvun,0
0,drttktpttalmkwnfdtfmcnodwbfmkn,0
0,hikbapslpnlrjtsijhujlrgtwknssu,3
0,doajvwrcapvdcapdhewdpenkgqjiaf,1
0,gncktifhbhoakdsohpqguibegpwmoh,2
0,areoismddfvnivvoqblhmtdksrwddi,0
0,lifpwajmtqjmjbgvfgefgwoahkdwhb,0
0,iaoguinlobpcomjbnptukirmcmvodl,3
0,hgrencksowktgrlobiwndsvqdnejkb,1
0,jerrthwrtlqhdgtqnmousktjuijljp,1
0,vdogiwtimdgquvbmtvliblspchnbjo,2
0,qtaorgsanninrpkktlauieclwhqtgo,1
0,tevcuvgbtjjvknnwatjcsfnlonanlb,1
0,ntjaeosvnliiwljbjwseievnbbuain,0
0,gkcprpjsqbswvsmtvcrcdvauthujhr,2
0,ppqfgihpugsuvblkvhsswtrfrmjgrw,1
0,nlpmppqqowrukfubsimevagmivacqg,0
0,srnokkrgrpbrnctminatmvkkmkobes,1
0,giiqqwsoodkhoovdsgjrjfwqwdlsrf,1
0,uoftnlhqkomnwnspspphrnjbetawoa,2
0,rcbvtabtaeqaofhtlulcwgnrkwcqou,1
0,ggdecgfoqrigiigiuapilrbanwggnl,2
0,rfomhivmapsqturrqvfnfwjfgcsmol,0
0,pqvfgnsejgrfmisccpenngshwnqfls,0
0,voavhgojewstatifpslrrictarlorr,1
0,pmkutpdmvmckpfviktwvbkpgsrwvhv,1
0,qegebsmlokssoisvjcaodmsekbltsc,1
0,uipnsornrlonudwwfjdkcincdnawov,0
0,qlopauvasmnjachidrairhfikfbudr,1
0,rhrmpevtkcwvpqqkhntgqrokwhvaaj,3
0,tkqdaofhelbgvchlanqkcsrndtjsok,1
0,ipemhvrfsutccmspawifhwkmroabsh,0
0,bpnsauhtfdrivmjnobbirttheceflv,1
0,pscuuvvkofwantghkuswqwoswmkmnv,0
0,geqojohglovfpddrfikcltpjhmskqq,0
0,lwwaltnnihwhoqcbfdgwievhinqerh,0
0,lskoeqpataomjofvoqvpecpqknuwue,2
0,cqfdlsngqpghbwccldearplsihjdnd,0
0,gutpvasefkvdtschpnoqriqlaewwqj,1
0,sadkkfleekjgwmotfmgakoljwiomeg,1
0,prtqgtblavctmodunsvjbdljknkbpc,2
