generation,deck_uid,win_rate
0,cwkssdzuluyADqvyfpibDxdffDnmdh,1
0,ujiexkrnvwukrgztDgAcEvsdjhuclD,3
0,avoprjCsrjfludpssaugncrBhpspit,0
0,cAnipgktrqzhfrhfBdtkkAyCbaposA,1
0,cBzkjkbmxkshldocwidfqnokbdlspi,3
0,uuAixnisatucpgCDlcvplBepkAfBwE,1
0,cjkgryikjsjnCAEgxohiteDDtkoqgc,3
0,ckzCwbrzfdmbekkvBbmckwhpjjcpdm,5
0,qlhzkxzhbpAobtmajrmcjyqwnbiucx,1
0,AjztvBltiCBhhbqbjAnmpelyeqAmfq,0
0,ootsdDdemcbpcxqcqvgBolbyemvnro,4
0,eEvwBaoazAaufnczgldqhtkaovDDbw,1
0,ngqdgDCjmbomedjbkukxkppgCjCerx,3
0,EeytDtBlDDcyuubgpvqobyiBgcplzm,1
0,fppofnDvgdebqdgwhEuommxslnimlp,2
0,kgknnfolhlpapdufpzlcxmlseCxrya,4
0,mDsnDvbgejmpnqgciiwhbylhsykBAe,3
0,xjmzcmcqEgmlEvhseBoaeBphmfjEcg,3
0,hgllnjlBrhihgsxuBpgdbvBtwexuib,3
0,oxhrmzrsykeEAsrppzafCbArlDzriu,2
