generation,deck_uid,win_rate
0,ofpblwxzpyfiAjBEatsBaCEBmrndfg,0
0,BrjBAxvnyrwABarkyEnquwyervufrm,1
0,bErifojuftlxlyqovrnjtelxAxlvzl,1
0,pBmvyBjkwrbotbotwlzABnmrhzBCkf,1
0,BwhillkdaudjrfbiwpbDyhavarbDxc,3
0,mrDxxzEnmskpCzwnDAwBmyjBprDvkw,0
0,jagwkdoycgcmokysybgnoniopggffe,2
0,omCyrEBleyosjewdinaCmsCuyqEekv,1
0,steygirqDCtgpojgjpCzzwypEjxmkj,4
0,btDtfDoDnvyyliErmlxgegghAErxDE,1
0,jxcyarCoyojczzEwjllipcgvhoAzlD,2
0,eginuiqmosjtmweabelAciBbijaegp,6
0,uxyDzgCfEvCCEbDCaBicduCsxpvBod,0
0,zisrrDxyhulgEjtetcBlctvpzvoipA,1
0,fqnldouEoAbowibenBqtAfdeegkEDp,2
0,aldcgvuaplyzeawzgvlyxzcrwEcahe,2
0,uiqgpgEyBjevCejkmmgvvhlmBooafD,4
0,ChiCAvEruueqpmrAhDmjalpBmnjpAA,1
0,CAiytvxgweptnrgCtmcEyzwbbtjtps,2
0,qmzittnDbmhdvznpmmCbqxrAkElibn,3
0,cExchvjxccgABrBsjxoCyzlvfzxoun,2
0,jwulDyeqfetzjzobgfykzjapncrAjj,3
0,vifqcpwrEEzsyjsqesehqcflojdrfv,4
0,tjoEpldqEtiboizbfxssjdsBygCyyn,1
0,wyApfcBhApBdhweDkyrqthvelCcsfE,2
0,bEghednzlfsuzwAqwdxEujtpwlexuw,2
0,kEhporirrfyprdkwCqvtupvabzegkl,3
0,gpmsqrltpftwpBmthlBhpEBmcgABvj,0
0,feabaAhzotskqakDbEkfyzzevmsjik,3
0,iigpEArkilwDgqBauprxzzecixBtfh,0
0,ndupmksBtbdntvaDbqlhwjtAvAikpC,0
0,zgspyDisEDmCphzmbdtfoiopjoEedm,3
0,aEdphbxraApkokmwiCnAbjdvyaggCr,0
0,ngttrkjuqeujwlEdzidsbEfrdgcnkC,2
0,jEhbcEuozDAdfdCzjvkpmmefDoEjCv,0
