generation,deck_uid,win_rate
0,kknmoknikklikjonknlkjnilnoikon,5
0,jojnmonojnnnnkiiljilnnomollnli,6
0,nnninmkjjillnmmlkkoknknilkmnno,5
0,nmkionklnmonkolnjiojolkollilni,3
0,ojjkkimklninjnonmimnnljjnommil,4
0,mkjinnnonijlknnnnoniilklinonkm,4
0,jlonioioijmnmoiomlnnnlnlmkojjo,8
0,mkljjnnlnnjkimionklminimnnmkjl,3
0,llkknmojknmnmknoiolkknnjnimmko,3
0,inkknjnnkmmnlknkjokjijkmjjoioi,6
0,llommiokmnminkljjnlkojlimmjmlj,6
0,ikkloonmnnnlnninimmolomononllk,7
0,nkjkknnlimnljiimonjmniolmojnin,6
0,nniojljjnljjllojlnjlonnnkkjmln,3
0,olnnooillnikjinllkljnnliniljol,5
0,lljijkojniimjmnjikikjnimlolnlj,5
0,jojoijmnlmkkmnlkoklnllklmiojjm,6
0,noookmjnnjomoniiklonmijmjjnnjm,9
0,ojjimmnnoojjjojmmjillollnoikmi,3
0,limjnkknmjkkolkimjijjmkmijliln,7
